mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__C,param_classifier__class_weight,param_classifier__penalty,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.1895835399627686,0.21496080948964283,0.09121417999267578,0.016922222179586922,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,10,sqrt,4.0,200.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 4, 'classifier__n_estimators': 200}",0.7248995983935743,0.751004016064257,0.7334669338677354,0.7364568494418556,0.010864770340773823,32
2.4932707150777182,0.40709994381378456,0.1463632583618164,0.023746926345648654,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,10,sqrt,4.0,400.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 4, 'classifier__n_estimators': 400}",0.7329317269076305,0.7469879518072289,0.7334669338677354,0.7377955375275316,0.0065036898162875115,31
1.0261599222819011,0.03853319175620326,0.09584307670593262,0.019433319330394855,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,10,log2,1.0,200.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}",0.6947791164658634,0.7088353413654619,0.687374749498998,0.6969964024434412,0.008900431399451219,45
2.272270600001017,0.3872990797129442,0.13970271746317545,0.013633322193742166,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,10,log2,1.0,400.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 400}",0.6887550200803213,0.7068273092369478,0.6953907815631263,0.6969910369601319,0.007464249095607407,46
1.1587369441986084,0.06492908115517695,0.07419800758361816,0.0017777037650457753,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,10,log2,2.0,200.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.7008032128514057,0.7289156626506024,0.7154308617234469,0.7150499124084849,0.011480020331384901,39
1.9184812704722087,0.3334039360833044,0.1132032076517741,0.0007057937734237563,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,10,log2,2.0,400.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 400}",0.6987951807228916,0.7248995983935743,0.7074148296593187,0.7103698695919282,0.010859998503187458,44
0.9326977729797363,0.02288312615789443,0.08390378952026367,0.0150961447875037,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,10,log2,4.0,200.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 4, 'classifier__n_estimators': 200}",0.7369477911646586,0.7409638554216867,0.7454909819639278,0.7411342095167578,0.003489822597827406,30
1.9826233386993408,0.33695150563714593,0.11511929829915364,0.008180482636226082,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,10,log2,4.0,400.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 4, 'classifier__n_estimators': 400}",0.7389558232931727,0.748995983935743,0.7414829659318637,0.7431449243869265,0.004264018907237654,29
1.2383228937784831,0.11896275028996825,0.0820764700571696,0.003682497101305642,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,14,sqrt,1.0,200.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 14, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}",0.5481927710843374,0.5863453815261044,0.5450901803607214,0.5598761109903877,0.018759410604090327,57
2.9352373282114663,0.35597584581753783,0.17823990186055502,0.02632253381010518,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,14,sqrt,1.0,400.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 14, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 400}",0.5461847389558233,0.5843373493975904,0.5430861723446894,0.557869420232701,0.01875835341866142,58
